# Sensor type: Respeck
# Activity type: Desk work
# Activity code: 31
# Subject id: s1234567
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1631881954256,0.041015625,-0.9907837,0.047546387,-1.65625,1.5,-0.4375
1631881954316,0.045654297,-0.99005127,0.050476074,-0.953125,0.46875,0.140625
1631881954347,0.041015625,-0.9885864,0.059020996,-0.421875,-0.625,0.53125
1631881954379,0.03100586,-0.99102783,0.06097412,-0.09375,-0.6875,0.515625
1631881954419,0.004638672,-1.0003052,0.047546387,-0.796875,-0.515625,0.46875
1631881954467,0.027832031,-0.99713135,0.038757324,-0.125,0.6875,0.109375
1631881954497,0.040527344,-0.98883057,0.06048584,-0.109375,1.859375,-0.453125
1631881954539,0.044433594,-0.9885864,0.06048584,0.4375,0.578125,-0.4375
1631881954569,0.048339844,-0.99884033,0.046325684,-0.25,-0.75,-0.046875
1631881954617,0.043701172,-0.99053955,0.050964355,-1.453125,-1.6875,0.40625
1631881954659,0.030517578,-0.9898071,0.06072998,-1.25,-1.421875,0.453125
1631881954689,0.02368164,-0.9927368,0.06439209,-0.234375,-1.09375,0.171875
1631881954740,0.024902344,-0.9985962,0.06976318,-0.09375,-0.140625,-0.046875
1631881954781,0.02709961,-0.99053955,0.06121826,0.0625,0.40625,-0.015625
1631881954839,0.031982422,-0.9956665,0.058776855,-0.71875,0.0,0.078125
1631881954858,0.030517578,-0.9907837,0.06097412,-0.8125,0.34375,0.109375
1631881954899,0.032958984,-0.986145,0.0680542,0.453125,-0.609375,0.234375
1631881954930,0.021728516,-0.9783325,0.09197998,-1.03125,-0.09375,0.5625
1631881954980,0.016357422,-0.9927368,0.0758667,0.78125,0.09375,1.03125
1631881955006,0.018798828,-0.99835205,0.051940918,0.890625,0.71875,0.71875
1631881955050,0.046875,-0.99835205,0.036315918,-0.53125,0.453125,-0.03125
1631881955094,0.061767578,-0.99542236,0.039978027,-0.765625,0.109375,-0.609375
1631881955124,0.053710938,-0.987854,0.051696777,-0.34375,-1.453125,-0.4375
1631881955169,0.048828125,-0.9841919,0.070495605,-0.15625,-2.765625,0.4375
1631881955217,0.034423828,-0.99053955,0.070007324,0.296875,-4.453125,1.125
1631881955260,0.03125,-1.0015259,0.06536865,1.0,-3.890625,1.5
1631881955289,0.0234375,-0.9990845,0.06365967,1.375,-3.171875,1.1875
1631881955338,0.014892578,-0.98809814,0.066833496,0.203125,-2.4375,0.65625
1631881955368,0.022460938,-0.98565674,0.06439209,0.203125,-1.328125,0.203125
1631881955410,0.030761719,-0.99298096,0.06585693,-0.421875,0.15625,-0.421875
1631881955463,0.032226562,-0.99468994,0.06365967,-0.234375,0.171875,-0.15625
1631881955489,0.0390625,-0.99102783,0.061706543,0.453125,0.484375,0.0
1631881955547,0.0390625,-0.9837036,0.058044434,0.578125,0.640625,0.140625
1631881955560,0.04638672,-0.9883423,0.0680542,0.703125,0.140625,0.578125
1631881955606,0.044189453,-0.9944458,0.05999756,1.28125,-1.90625,0.421875
1631881955650,0.044921875,-1.0010376,0.04901123,1.71875,-1.6875,0.375
1631881955679,0.03955078,-0.9956665,0.046569824,0.34375,-1.234375,0.15625
1631881955730,0.027832031,-0.9937134,0.06585693,0.796875,-0.734375,0.234375
1631881955769,0.02734375,-0.9805298,0.054626465,1.375,-1.296875,0.5625
1631881955800,0.029052734,-0.9873657,0.050231934,0.96875,-0.796875,0.46875
1631881955849,0.032958984,-0.9944458,0.049743652,1.171875,0.375,0.046875
1631881955889,0.032958984,-0.9976196,0.0368042,1.453125,0.96875,-0.484375
1631881955919,0.03955078,-0.9849243,0.039245605,0.265625,1.640625,-0.5
1631881955966,0.046142578,-0.9927368,0.055603027,-0.0625,0.265625,-0.015625
1631881956009,0.045410156,-0.9898071,0.049987793,-0.25,-1.34375,0.515625
1631881956058,0.02758789,-0.986145,0.044128418,-0.59375,-2.859375,0.78125
1631881956088,0.02319336,-0.9920044,0.032409668,-0.640625,-2.046875,0.328125
1631881956114,0.037841797,-1.0025024,0.04876709,-0.640625,-0.734375,0.015625
1631881956160,0.028320312,-0.986145,0.043395996,0.03125,-0.1875,-0.6875
1631881956207,0.04272461,-0.99298096,0.051208496,-0.828125,0.75,-0.78125
1631881956237,0.049316406,-0.9990845,0.07318115,-0.4375,-0.578125,0.03125
1631881956279,0.023925781,-0.9924927,0.057800293,-0.203125,-2.828125,0.515625
1631881956327,0.032226562,-0.9920044,0.038757324,-0.984375,-2.5,0.578125
1631881956354,0.024169922,-0.98809814,0.047790527,-2.0625,0.40625,-0.15625
1631881956399,0.016601562,-0.9956665,0.07147217,0.0625,0.640625,-0.171875
1631881956445,0.033203125,-0.9841919,0.047058105,-0.796875,0.609375,-0.53125
1631881956474,0.040771484,-0.9990845,0.06317139,-0.828125,1.28125,-0.484375
1631881956519,0.045654297,-0.9976196,0.057800293,-1.15625,0.109375,-0.234375
1631881956550,0.029541016,-1.0012817,0.050231934,-1.03125,-1.359375,0.234375
1631881956594,0.030517578,-0.98028564,0.061462402,-1.234375,-1.703125,0.375
1631881956639,0.029052734,-0.98760986,0.062683105,-0.78125,-2.265625,0.15625
1631881956671,0.020263672,-1.0025024,0.070495605,-0.625,-2.34375,-0.125
1631881956714,0.022949219,-0.9902954,0.06072998,-0.65625,-2.09375,-0.015625
1631881956780,0.01953125,-0.9846802,0.0680542,-1.3125,-0.703125,-0.234375
1631881956789,0.010498047,-0.98321533,0.078063965,-1.09375,0.15625,-0.046875
1631881956835,0.018310547,-0.98931885,0.08099365,-0.078125,-0.078125,0.0625
1631881956880,0.026611328,-0.9937134,0.066589355,0.234375,0.34375,0.203125
1631881956910,0.03540039,-0.9956665,0.06463623,-0.6875,0.46875,-0.203125
1631881956956,0.030517578,-0.9956665,0.086364746,-1.046875,-0.0625,-0.296875
1631881956999,0.021484375,-0.9824829,0.07611084,-0.21875,-1.078125,0.1875
1631881957029,0.017089844,-0.98809814,0.07196045,-0.671875,-1.375,0.453125
1631881957074,0.0234375,-0.987854,0.08001709,-0.3125,-0.625,0.015625
1631881957107,0.01953125,-0.99005127,0.08148193,-0.3125,0.171875,0.109375
1631881957150,0.03100586,-0.99468994,0.06781006,-0.109375,0.34375,0.0625
1631881957194,0.02319336,-0.989563,0.074157715,-0.5,1.53125,-0.015625
1631881957228,0.033935547,-0.9885864,0.089782715,-0.6875,0.203125,-0.015625
1631881957287,0.024902344,-0.99102783,0.07684326,-0.71875,-0.5625,-0.046875
1631881957314,0.022460938,-0.9956665,0.08465576,-0.4375,-1.34375,0.203125
1631881957346,0.030273438,-0.99053955,0.077819824,-0.171875,-1.9375,0.421875
1631881957389,0.029785156,-0.99224854,0.08807373,-0.109375,-2.453125,0.46875
1631881957438,0.019042969,-0.9902954,0.08734131,0.015625,-3.3125,0.78125
1631881957466,0.012451172,-0.9902954,0.07952881,0.109375,-3.046875,0.71875
1631881957529,0.0078125,-0.9944458,0.074157715,0.109375,-2.28125,0.40625
1631881957554,0.017578125,-0.987854,0.08538818,-0.21875,-1.046875,0.171875
1631881957587,0.0146484375,-0.99713135,0.086364746,0.96875,-1.015625,0.46875
1631881957629,0.01586914,-0.9841919,0.06854248,1.578125,-1.078125,0.625
1631881957659,0.020263672,-0.9788208,0.07635498,0.9375,-0.390625,0.5625
1631881957709,0.024658203,-0.9985962,0.07928467,0.828125,-0.625,0.625
1631881957750,0.022460938,-0.9963989,0.07366943,1.78125,-0.515625,0.390625
1631881957779,0.03491211,-0.98565674,0.066345215,1.078125,0.375,0.125
1631881957830,0.049560547,-1.0015259,0.08392334,0.96875,0.296875,-0.140625
1631881957870,0.028564453,-0.9902954,0.078308105,1.078125,-0.921875,0.359375
1631881957900,0.02758789,-0.9829712,0.047546387,1.34375,-2.328125,0.859375
1631881957950,0.025634766,-0.99468994,0.062194824,-0.234375,-0.5,0.8125
1631881958007,0.026123047,-0.98687744,0.07318115,0.796875,-0.65625,0.609375
1631881958019,0.02319336,-0.99786377,0.05291748,0.953125,-0.984375,0.28125
1631881958069,0.039794922,-0.9963989,0.05682373,0.75,-0.546875,0.140625
1631881958097,0.03540039,-0.99542236,0.06097412,0.5,-0.953125,0.109375
1631881958141,0.017578125,-0.9885864,0.04827881,0.375,-1.4375,0.1875
1631881958187,0.025634766,-0.9898071,0.046813965,0.0625,-0.90625,0.453125
1631881958222,0.030273438,-0.9973755,0.059265137,0.359375,0.671875,0.03125
1631881958260,0.012939453,-0.9871216,0.042175293,0.875,1.640625,-0.421875
1631881958308,0.014160156,-0.991272,0.038269043,0.078125,3.015625,-0.46875
1631881958341,0.026855469,-0.98687744,0.05633545,-0.703125,4.21875,-0.453125
1631881958380,0.033203125,-0.98443604,0.07318115,0.078125,3.3125,-0.140625
1631881958429,0.04296875,-0.9924927,0.07196045,0.21875,0.828125,0.171875
1631881958456,0.059326172,-0.99786377,0.09100342,0.484375,-1.9375,0.1875
1631881958514,0.05810547,-0.99664307,0.066589355,0.59375,-5.0,0.515625
1631881958547,0.03564453,-0.9939575,0.06121826,-0.59375,-6.359375,0.28125
1631881958574,0.01928711,-0.986145,0.06390381,-1.0625,-7.25,0.703125
1631881958620,0.0107421875,-0.98638916,0.06585693,-0.53125,-6.625,0.75
1631881958650,0.0087890625,-0.991272,0.057556152,0.125,-5.515625,0.484375
1631881958698,0.0087890625,-1.0005493,0.05609131,0.078125,-3.921875,0.4375
1631881958739,0.010986328,-0.991272,0.057556152,0.3125,-1.9375,0.359375
1631881958769,0.017578125,-0.99224854,0.059753418,-0.21875,-1.28125,0.5
1631881958818,0.026367188,-0.9973755,0.07147217,-0.5,-1.09375,0.421875
1631881958861,0.02709961,-0.99053955,0.07269287,0.125,-0.765625,0.28125
